Location,What,Value,Unit
GPU[2].SuperDir,UpdateEntry,76057.0,count
GPU[2].SuperDir,InvalidateByEviction,0.0,count
GPU[2].SuperDir,InvalidateByWrite,0.0,count
GPU[2].SuperDir,ToLocalData,1498224.0,count
GPU[2].SuperDir,ToRemoteData,1488480.0,count
GPU[2].SuperDir,FromLocal,2821751.0,count
GPU[2].SuperDir,FromRemote,164953.0,count
GPU[3].SuperDir,UpdateEntry,30963.0,count
GPU[3].SuperDir,InvalidateByEviction,0.0,count
GPU[3].SuperDir,InvalidateByWrite,280.0,count
GPU[3].SuperDir,ToLocalData,660446.0,count
GPU[3].SuperDir,ToRemoteData,2133420.0,count
GPU[3].SuperDir,FromLocal,2652496.0,count
GPU[3].SuperDir,FromRemote,141370.0,count
GPU[4].SuperDir,UpdateEntry,33716.0,count
GPU[4].SuperDir,InvalidateByEviction,0.0,count
GPU[4].SuperDir,InvalidateByWrite,45.0,count
GPU[4].SuperDir,ToLocalData,685202.0,count
GPU[4].SuperDir,ToRemoteData,2121160.0,count
GPU[4].SuperDir,FromLocal,2631224.0,count
GPU[4].SuperDir,FromRemote,175138.0,count
GPU[5].SuperDir,UpdateEntry,34539.0,count
GPU[5].SuperDir,InvalidateByEviction,0.0,count
GPU[5].SuperDir,InvalidateByWrite,69.0,count
GPU[5].SuperDir,ToLocalData,651419.0,count
GPU[5].SuperDir,ToRemoteData,1775774.0,count
GPU[5].SuperDir,FromLocal,2242994.0,count
GPU[5].SuperDir,FromRemote,184199.0,count
GPU[2].SuperDir,UpdateEntry - 2,7.0,count
GPU[2].SuperDir,InvalidateByEviction - 2,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 2,0.0,count
GPU[2].SuperDir,InvalidateByPromotion - 2,0.0,count
GPU[2].SuperDir,InvalidateByDemotion - 2,0.0,count
GPU[2].SuperDir,UpdateEntry - 3,57.0,count
GPU[2].SuperDir,InvalidateByEviction - 3,0.0,count
GPU[2].SuperDir,InvalidateByWrite - 3,0.0,count
