scheme,workload,gpu_id,read_req_bytes,read_rsp_bytes,write_req_bytes,write_rsp_bytes,inv_req_bytes,inv_rsp_bytes,total_bytes,inv_ratio,incoming_trans,outgoing_trans
superdirectory,im2col,2,125184.0,735692.0,1276800.0,67160.0,48.0,16.0,2204900.0,2.17696947707379e-05,39381.0,15468.0
superdirectory,im2col,3,128064.0,766904.0,1276724.0,67184.0,96.0,32.0,2239004.0,4.287620745652978e-05,39613.0,15948.0
superdirectory,im2col,4,126828.0,751740.0,1278548.0,67268.0,72.0,24.0,2224480.0,3.236711501114867e-05,40025.0,15251.0
superdirectory,im2col,5,98292.0,578816.0,927808.0,48812.0,72.0,24.0,1653824.0,4.3535466893696064e-05,36546.0,4580.0
superdirectory,matrixmultiplication,1,0,0,0,0,0,0,0,,0.0,0.0
superdirectory,matrixmultiplication,2,742992.0,5843920.0,1262892.0,66468.0,24.0,8.0,7916304.0,3.031717831957944e-06,106735.0,74359.0
superdirectory,matrixmultiplication,3,2069400.0,15279260.0,1366708.0,71932.0,0,0,18787300.0,0.0,409087.0,24024.0
superdirectory,matrixmultiplication,4,887844.0,5594972.0,3778948.0,198892.0,72.0,24.0,10460752.0,6.882870371078484e-06,193643.0,62081.0
superdirectory,matrixmultiplication,5,679500.0,5482296.0,1149348.0,60492.0,48.0,16.0,7371700.0,6.511388146560495e-06,95753.0,71748.0
superdirectory,pagerank,1,0,0,0,0,0,0,0,,0.0,0.0
superdirectory,pagerank,2,4222956.0,24322172.0,4402376.0,231704.0,38364.0,12788.0,33230360.0,0.001154486439508931,723082.0,108756.0
superdirectory,pagerank,3,1980372.0,11577272.0,4379348.0,230492.0,32112.0,10704.0,18210300.0,0.0017633976376006985,280689.0,175194.0
superdirectory,pagerank,4,1962732.0,11425700.0,2415736.0,127144.0,19392.0,6464.0,15957168.0,0.0012152532329044853,206123.0,192267.0
superdirectory,pagerank,5,4078548.0,23348208.0,2032772.0,106988.0,24108.0,8036.0,29598660.0,0.00081449633192854,619731.0,121016.0
