scheme,workload,check,status,actual,expected,note
superdirectory,pagerank,L2ToDRAM_vs_DRAM_GPU5,FAIL,L2=0,DRAM=338987,diff=100.0%
CD,im2col,RDMA_ReadReq_vs_L2RemoteRead,PASS,RDMA=41018,L2remote=22756,ratio=1.80
CD,matrixmultiplication,RDMA_ReadReq_vs_L2RemoteRead,WARN,RDMA=407936,L2remote=851376,ratio=0.48
REC,im2col,RDMA_ReadReq_vs_L2RemoteRead,PASS,RDMA=41016,L2remote=23511,ratio=1.74
REC,matrixmultiplication,RDMA_ReadReq_vs_L2RemoteRead,WARN,RDMA=407952,L2remote=851376,ratio=0.48
REC,pagerank,RDMA_ReadReq_vs_L2RemoteRead,WARN,RDMA=1011900,L2remote=3628980,ratio=0.28
HMG,im2col,RDMA_ReadReq_vs_L2RemoteRead,PASS,RDMA=41018,L2remote=22757,ratio=1.80
HMG,matrixmultiplication,RDMA_ReadReq_vs_L2RemoteRead,WARN,RDMA=407952,L2remote=851376,ratio=0.48
HMG,pagerank,RDMA_ReadReq_vs_L2RemoteRead,WARN,RDMA=1028576,L2remote=3618452,ratio=0.28
superdirectory,bfs,RDMA_ReadReq_vs_L2RemoteRead,PASS,RDMA=416512,L2remote=208930,ratio=1.99
superdirectory,im2col,RDMA_ReadReq_vs_L2RemoteRead,PASS,RDMA=39864,L2remote=23148,ratio=1.72
superdirectory,matrixmultiplication,RDMA_ReadReq_vs_L2RemoteRead,WARN,RDMA=364978,L2remote=851376,ratio=0.43
superdirectory,pagerank,RDMA_ReadReq_vs_L2RemoteRead,WARN,RDMA=1020384,L2remote=3617170,ratio=0.28
superdirectory,bfs,SuperDir_FromRemote_vs_RDMA_in,PASS,FromRemote=208272,RDMA_in=633810,ratio=0.33
superdirectory,im2col,SuperDir_FromRemote_vs_RDMA_in,PASS,FromRemote=51247,RDMA_in=155565,ratio=0.33
superdirectory,matrixmultiplication,SuperDir_FromRemote_vs_RDMA_in,PASS,FromRemote=232212,RDMA_in=805218,ratio=0.29
superdirectory,pagerank,SuperDir_FromRemote_vs_RDMA_in,PASS,FromRemote=597233,RDMA_in=1829625,ratio=0.33
superdirectory,im2col,Monotone_MissRate_vs_Time,FAIL,"SD_miss=0.4105, SD_time=0.000300s","CD_miss=0.4148, CD_time=0.000297s",SuperDir miss_rate=0.4105 < CD=0.4148 (BETTER) but SD_time=0.000300s > CD_time=0.000297s (SLOWER). Root cause: L2 latency increase from multi-bank serial lookup. ESCALATED.
superdirectory,matrixmultiplication,Monotone_MissRate_vs_Time,FAIL,"SD_miss=0.3898, SD_time=0.001162s","CD_miss=0.4513, CD_time=0.000986s",SuperDir miss_rate=0.3898 < CD=0.4513 (BETTER) but SD_time=0.001162s > CD_time=0.000986s (SLOWER). Root cause: L2 latency increase from multi-bank serial lookup. ESCALATED.
REC,im2col,Monotone_MissRate_vs_Time,PASS,REC_miss=0.3687,CD_miss=0.4148,
HMG,im2col,Monotone_MissRate_vs_Time,WARN,"HMG_miss=0.4142, time=0.000297s","CD_miss=0.4148, time=0.000297s",Lower miss rate but slower — check latency metrics
REC,matrixmultiplication,Monotone_MissRate_vs_Time,PASS,REC_miss=0.4792,CD_miss=0.4513,
HMG,matrixmultiplication,Monotone_MissRate_vs_Time,PASS,HMG_miss=0.4772,CD_miss=0.4513,
REC,pagerank,ESCALATION_driver_vs_cpmax,WARN,driver_time != cp_max_time,>1% threshold,1.09% driver vs cp_max divergence
superdirectory,bfs,ESCALATION_driver_vs_cpmax,WARN,driver_time != cp_max_time,>1% threshold,1.27% driver vs cp_max divergence
