scheme,workload,gpu_id,comp_type,comp_id,hit_rate,remote_hit_rate,read_hits,read_misses,write_hits,write_misses
CD,im2col,5,L1ICache,,0.9931246866719187,,41601.0,288.0,0.0,0.0
CD,im2col,5,L2Cache,0,0.5862831858407079,0.2756756756756757,65.0,393.0,730.0,168.0
CD,im2col,5,L2Cache,1,0.5763097949886105,0.24293785310734464,62.0,390.0,697.0,168.0
CD,im2col,5,L2Cache,2,0.5872434017595308,0.3476190476190476,67.0,390.0,734.0,173.0
CD,im2col,5,L2Cache,3,0.5685823754789272,0.23333333333333334,58.0,392.0,684.0,171.0
CD,im2col,5,L2Cache,4,0.5636645962732919,0.19767441860465115,65.0,394.0,661.0,168.0
CD,im2col,5,L2Cache,5,0.5732725892179195,0.18823529411764706,58.0,394.0,697.0,168.0
CD,im2col,5,L2Cache,6,0.5787106446776612,0.30303030303030304,58.0,394.0,714.0,168.0
CD,im2col,5,L2Cache,7,0.5793413173652695,0.28865979381443296,62.0,394.0,712.0,168.0
CD,im2col,5,L2Cache,8,0.5756207674943566,0.2631578947368421,63.0,396.0,702.0,168.0
CD,im2col,5,L2Cache,9,0.5624515128006207,0.25133689839572193,62.0,396.0,663.0,168.0
CD,im2col,5,L2Cache,10,0.5694656488549619,0.2631578947368421,67.0,396.0,679.0,168.0
CD,im2col,5,L2Cache,11,0.5700076511094109,0.2631578947368421,84.0,394.0,661.0,168.0
CD,im2col,5,L2Cache,12,0.5764883195177091,0.29292929292929293,75.0,394.0,690.0,168.0
CD,im2col,5,L2Cache,13,0.5700076511094109,0.24731182795698925,80.0,394.0,665.0,168.0
CD,im2col,5,L2Cache,14,0.5840118430792006,0.32367149758454106,81.0,394.0,708.0,168.0
CD,im2col,5,L2Cache,15,0.571972581873572,0.20454545454545456,67.0,394.0,684.0,168.0
CD,matrixmultiplication,2,L1SCache,,0.9795918367346939,,1536.0,32.0,0.0,0.0
CD,matrixmultiplication,2,L1ICache,,0.9995353389766701,,929278.0,432.0,0.0,0.0
CD,matrixmultiplication,2,L2Cache,0,0.6272348033373063,0.07686482393032942,8360.0,4004.0,60.0,1000.0
CD,matrixmultiplication,2,L2Cache,1,0.6291876667654906,0.07876841707593502,8433.0,4003.0,56.0,1000.0
CD,matrixmultiplication,2,L2Cache,2,0.6306545642388016,0.07842025699168556,8497.0,4005.0,49.0,1000.0
CD,matrixmultiplication,2,L2Cache,3,0.6307635558834378,0.08119819140919367,8486.0,4005.0,64.0,1000.0
CD,matrixmultiplication,2,L2Cache,4,0.6314239434545722,0.0830827067669173,8510.0,4006.0,66.0,1000.0
CD,matrixmultiplication,2,L2Cache,5,0.6315518256772674,0.08413145539906103,8521.0,4005.0,58.0,1000.0
CD,matrixmultiplication,2,L2Cache,6,0.6306273062730627,0.08033188761078634,8485.0,4005.0,60.0,1000.0
CD,matrixmultiplication,2,L2Cache,7,0.6298076923076923,0.08327067669172933,8452.0,4005.0,63.0,1000.0
CD,matrixmultiplication,2,L2Cache,8,0.6282527881040892,0.08417888012025554,8382.0,4000.0,68.0,1000.0
CD,matrixmultiplication,2,L2Cache,9,0.6249343635136149,0.08159035236480121,8264.0,4000.0,67.0,1000.0
CD,matrixmultiplication,2,L2Cache,10,0.6222423692958597,0.07846473813575346,8179.0,4000.0,57.0,1000.0
CD,matrixmultiplication,2,L2Cache,11,0.6251874062968515,0.08641049671977508,8283.0,4000.0,57.0,1000.0
CD,matrixmultiplication,2,L2Cache,12,0.6230966380220112,0.08141726347531097,8203.0,4000.0,63.0,1000.0
CD,matrixmultiplication,2,L2Cache,13,0.6220424824249754,0.08417888012025554,8162.0,4000.0,67.0,1000.0
CD,matrixmultiplication,2,L2Cache,14,0.6233805363061163,0.08331766033477525,8215.0,4000.0,61.0,1000.0
CD,matrixmultiplication,2,L2Cache,15,0.6249812453113278,0.08435092992673304,8264.0,3999.0,67.0,1000.0
CD,matrixmultiplication,3,L1SCache,,0.9795918367346939,,1536.0,32.0,0.0,0.0
CD,matrixmultiplication,3,L1ICache,,0.9995350193903372,,928639.0,432.0,0.0,0.0
CD,matrixmultiplication,3,L2Cache,0,0.6821628750412133,0.5202213707960834,12372.0,4784.0,42.0,1000.0
CD,matrixmultiplication,3,L2Cache,1,0.6808816218306358,0.5069991251093613,12285.0,4777.0,41.0,1000.0
CD,matrixmultiplication,3,L2Cache,2,0.6784221962226308,0.506140350877193,12141.0,4772.0,36.0,1000.0
CD,matrixmultiplication,3,L2Cache,3,0.6793918544001776,0.5202213707960834,12202.0,4778.0,42.0,1000.0
CD,matrixmultiplication,3,L2Cache,4,0.678739808086971,0.5208333333333334,12192.0,4792.0,45.0,1000.0
CD,matrixmultiplication,3,L2Cache,5,0.6770508247882301,0.5065731814198072,12111.0,4795.0,38.0,1000.0
CD,matrixmultiplication,3,L2Cache,6,0.6775698339534626,0.5206295193534666,12157.0,4806.0,44.0,1000.0
CD,matrixmultiplication,3,L2Cache,7,0.675814368585453,0.5061349693251533,12079.0,4812.0,37.0,1000.0
CD,matrixmultiplication,3,L2Cache,8,0.6761760921854897,0.5067952652345462,12046.0,4789.0,42.0,1000.0
CD,matrixmultiplication,3,L2Cache,9,0.6767840205322769,0.5067952652345462,12088.0,4793.0,42.0,1000.0
CD,matrixmultiplication,3,L2Cache,10,0.6766427018893162,0.5067893123083662,12098.0,4802.0,43.0,1000.0
CD,matrixmultiplication,3,L2Cache,11,0.6762537696861387,0.4936993699369937,12064.0,4797.0,45.0,1000.0
CD,matrixmultiplication,3,L2Cache,12,0.6775451102695478,0.5059288537549407,12128.0,4790.0,38.0,1000.0
CD,matrixmultiplication,3,L2Cache,13,0.677072300574168,0.506140350877193,12106.0,4793.0,40.0,1000.0
CD,matrixmultiplication,3,L2Cache,14,0.6786526829809667,0.5074430823117339,12185.0,4791.0,45.0,1000.0
CD,matrixmultiplication,3,L2Cache,15,0.6796277833167165,0.5198463508322664,12228.0,4784.0,42.0,1000.0
CD,matrixmultiplication,4,L1SCache,,0.9795918367346939,,1536.0,32.0,0.0,0.0
CD,matrixmultiplication,4,L1ICache,,0.99953532248297,,929245.0,432.0,0.0,0.0
CD,matrixmultiplication,4,L2Cache,0,0.3758675078864353,0.4151935719503287,2906.0,4749.0,1860.0,3165.0
CD,matrixmultiplication,4,L2Cache,1,0.3746147158776575,0.4189757725228493,2888.0,4749.0,1852.0,3164.0
CD,matrixmultiplication,4,L2Cache,2,0.3801316201817612,0.4281633818908883,2998.0,4750.0,1854.0,3162.0
CD,matrixmultiplication,4,L2Cache,3,0.3834645055715733,0.43342295174755907,3063.0,4750.0,1858.0,3162.0
CD,matrixmultiplication,4,L2Cache,4,0.3921960211997849,0.4476623913942904,3246.0,4751.0,1860.0,3162.0
CD,matrixmultiplication,4,L2Cache,5,0.39724253503961,0.4559163157179731,3356.0,4751.0,1859.0,3162.0
CD,matrixmultiplication,4,L2Cache,6,0.3970431336686481,0.45538628944504894,3348.0,4750.0,1862.0,3162.0
CD,matrixmultiplication,4,L2Cache,7,0.39627679865720605,0.45479302832244006,3340.0,4750.0,1854.0,3163.0
CD,matrixmultiplication,4,L2Cache,8,0.3951193390452876,0.4513650706544108,3290.0,4745.0,1875.0,3162.0
CD,matrixmultiplication,4,L2Cache,9,0.39237685391531546,0.4455843615693886,3242.0,4745.0,1864.0,3162.0
CD,matrixmultiplication,4,L2Cache,10,0.386518771331058,0.43582510578279265,3118.0,4746.0,1865.0,3163.0
CD,matrixmultiplication,4,L2Cache,11,0.38869995362498067,0.43851768669286917,3152.0,4746.0,1877.0,3163.0
CD,matrixmultiplication,4,L2Cache,12,0.38257339163023113,0.42961061189559263,3040.0,4745.0,1860.0,3163.0
CD,matrixmultiplication,4,L2Cache,13,0.37279936558287075,0.41211052322163433,2832.0,4746.0,1869.0,3163.0
CD,matrixmultiplication,4,L2Cache,14,0.3783996227008332,0.421631000578369,2942.0,4746.0,1872.0,3162.0
CD,matrixmultiplication,4,L2Cache,15,0.37820412014467686,0.42165365712633707,2931.0,4746.0,1879.0,3162.0
CD,matrixmultiplication,5,L1SCache,,0.9795918367346939,,1536.0,32.0,0.0,0.0
CD,matrixmultiplication,5,L1ICache,,0.9995352704951629,,929141.0,432.0,0.0,0.0
CD,matrixmultiplication,5,L2Cache,0,0.39618930547019054,0.3914983269302268,3198.0,4004.0,25.0,908.0
CD,matrixmultiplication,5,L2Cache,1,0.3873502994011976,0.3873502994011976,3076.0,4003.0,29.0,908.0
CD,matrixmultiplication,5,L2Cache,2,0.4005126953125,0.40061050061050063,3246.0,4005.0,35.0,906.0
CD,matrixmultiplication,5,L2Cache,3,0.4088830043331729,0.4089814591861305,3371.0,4005.0,26.0,906.0
CD,matrixmultiplication,5,L2Cache,4,0.40257844806616394,0.402676399026764,3280.0,4006.0,30.0,906.0
CD,matrixmultiplication,5,L2Cache,5,0.401316591490918,0.4014144616510182,3265.0,4005.0,27.0,906.0
CD,matrixmultiplication,5,L2Cache,6,0.4005858659831564,0.4006836772066903,3254.0,4005.0,28.0,906.0
CD,matrixmultiplication,5,L2Cache,7,0.38365963855421686,0.38375596284207886,3026.0,4005.0,31.0,906.0
CD,matrixmultiplication,5,L2Cache,8,0.3847504389265112,0.38484696437531357,3031.0,4000.0,37.0,906.0
CD,matrixmultiplication,5,L2Cache,9,0.38636647904940585,0.38430634023854365,3061.0,4000.0,28.0,906.0
CD,matrixmultiplication,5,L2Cache,10,0.37086432418568865,0.368692070030896,2858.0,4000.0,34.0,906.0
CD,matrixmultiplication,5,L2Cache,11,0.3646723646723647,0.3624544981799272,2777.0,4000.0,39.0,906.0
CD,matrixmultiplication,5,L2Cache,12,0.3752705972239908,0.3731305125910776,2915.0,4000.0,32.0,906.0
CD,matrixmultiplication,5,L2Cache,13,0.3743145007014411,0.3721674561515811,2903.0,4000.0,32.0,906.0
CD,matrixmultiplication,5,L2Cache,14,0.3818823232959557,0.3801036531411958,2994.0,4000.0,37.0,906.0
CD,matrixmultiplication,5,L2Cache,15,0.395638245441104,0.3950906623905267,3177.0,3999.0,34.0,906.0
REC,im2col,2,L1SCache,,0.995850622406639,,11520.0,48.0,0.0,0.0
REC,im2col,2,L1ICache,,0.9940235323414057,,47901.0,288.0,0.0,0.0
REC,im2col,2,L2Cache,0,0.6449579831932774,0.6589002795899348,448.0,332.0,1087.0,513.0
REC,im2col,2,L2Cache,1,0.6450252951096122,0.655367231638418,492.0,329.0,1038.0,513.0
REC,im2col,2,L2Cache,2,0.6412441414571793,0.6520076481835564,467.0,330.0,1038.0,512.0
REC,im2col,2,L2Cache,3,0.6313485113835376,0.6338028169014085,434.0,330.0,1008.0,512.0
REC,im2col,2,L2Cache,4,0.636755823986195,0.645224171539961,457.0,330.0,1019.0,512.0
REC,im2col,2,L2Cache,5,0.645324347093513,0.6623376623376623,496.0,330.0,1036.0,512.0
REC,im2col,2,L2Cache,6,0.6415495955725841,0.6569274269557022,475.0,330.0,1032.0,512.0
REC,im2col,2,L2Cache,7,0.6383161512027491,0.6476282671829623,454.0,330.0,1032.0,512.0
REC,im2col,2,L2Cache,8,0.6368352788586251,0.6415841584158416,466.0,328.0,1007.0,512.0
REC,im2col,2,L2Cache,9,0.6357328707718994,0.642292490118577,469.0,328.0,997.0,512.0
REC,im2col,2,L2Cache,10,0.6428571428571429,0.6565464895635673,476.0,328.0,1036.0,512.0
REC,im2col,2,L2Cache,11,0.6404976404976405,0.6555661274976213,451.0,326.0,1042.0,512.0
REC,im2col,2,L2Cache,12,0.6474547749263778,0.6613657623947614,490.0,326.0,1049.0,512.0
REC,im2col,2,L2Cache,13,0.6461148648648649,0.6571969696969697,479.0,326.0,1051.0,512.0
REC,im2col,2,L2Cache,14,0.640343347639485,0.6519230769230769,446.0,326.0,1046.0,512.0
REC,im2col,2,L2Cache,15,0.6438589035274118,0.6502415458937199,423.0,326.0,1092.0,512.0
REC,im2col,3,L1SCache,,0.995850622406639,,11520.0,48.0,0.0,0.0
REC,im2col,3,L1ICache,,0.9940235323414057,,47901.0,288.0,0.0,0.0
REC,im2col,3,L2Cache,0,0.6398066075745367,0.635623869801085,493.0,380.0,1095.0,514.0
REC,im2col,3,L2Cache,1,0.6416,0.6382978723404256,537.0,377.0,1067.0,519.0
REC,im2col,3,L2Cache,2,0.6425412143144351,0.6402164111812444,532.0,378.0,1066.0,511.0
REC,im2col,3,L2Cache,3,0.6426559356136821,0.6493392070484582,530.0,376.0,1067.0,512.0
REC,im2col,3,L2Cache,4,0.6385836385836385,0.6474756421612046,511.0,376.0,1058.0,512.0
REC,im2col,3,L2Cache,5,0.6439454691259021,0.644325290437891,512.0,376.0,1094.0,512.0
REC,im2col,3,L2Cache,6,0.6394640682095006,0.6411181244364292,503.0,376.0,1072.0,512.0
REC,im2col,3,L2Cache,7,0.6354679802955665,0.6328413284132841,487.0,376.0,1061.0,512.0
REC,im2col,3,L2Cache,8,0.6355446355446356,0.6366939146230699,497.0,378.0,1055.0,512.0
REC,im2col,3,L2Cache,9,0.6359918200408998,0.6282527881040892,492.0,378.0,1063.0,512.0
REC,im2col,3,L2Cache,10,0.6415626258558196,0.6370235934664247,505.0,378.0,1088.0,512.0
REC,im2col,3,L2Cache,11,0.6422240128928284,0.6415770609318996,516.0,376.0,1078.0,512.0
REC,im2col,3,L2Cache,12,0.6523101018010963,0.6554694229112834,585.0,376.0,1081.0,512.0
REC,im2col,3,L2Cache,13,0.6484560570071259,0.6545768566493955,568.0,376.0,1070.0,512.0
REC,im2col,3,L2Cache,14,0.6426559356136821,0.645075421472937,550.0,376.0,1047.0,512.0
REC,im2col,3,L2Cache,15,0.6483168316831683,0.6524761077324066,531.0,376.0,1106.0,512.0
REC,im2col,4,L1SCache,,0.995850622406639,,11520.0,48.0,0.0,0.0
REC,im2col,4,L1ICache,,0.9940235323414057,,47901.0,288.0,0.0,0.0
REC,im2col,4,L2Cache,0,0.6195315952275741,0.6021052631578947,335.0,379.0,1067.0,482.0
REC,im2col,4,L2Cache,1,0.6222611744084137,0.6053719008264463,365.0,376.0,1055.0,486.0
REC,im2col,4,L2Cache,2,0.6192781690140845,0.6026970954356846,364.0,376.0,1043.0,489.0
REC,im2col,4,L2Cache,3,0.615556548949486,0.5991516436903499,341.0,378.0,1036.0,482.0
REC,im2col,4,L2Cache,4,0.6204766107678729,0.6138917262512769,354.0,378.0,1052.0,482.0
REC,im2col,4,L2Cache,5,0.6214788732394366,0.6134969325153374,362.0,378.0,1050.0,482.0
REC,im2col,4,L2Cache,6,0.6203090507726269,0.609100310237849,367.0,378.0,1038.0,482.0
REC,im2col,4,L2Cache,7,0.6167557932263814,0.5982996811902231,357.0,378.0,1027.0,482.0
REC,im2col,4,L2Cache,8,0.6086956521739131,0.5865800865800865,350.0,382.0,994.0,482.0
REC,im2col,4,L2Cache,9,0.6193832599118942,0.6061855670103092,387.0,382.0,1019.0,482.0
REC,im2col,4,L2Cache,10,0.619215513442045,0.6024973985431842,372.0,382.0,1033.0,482.0
REC,im2col,4,L2Cache,11,0.6234163390126692,0.609805924412666,370.0,380.0,1057.0,482.0
REC,im2col,4,L2Cache,12,0.6237970253718286,0.6184738955823293,375.0,378.0,1051.0,482.0
REC,im2col,4,L2Cache,13,0.6229723805348532,0.6149949341438703,367.0,378.0,1054.0,482.0
REC,im2col,4,L2Cache,14,0.6233026719229084,0.6130346232179226,381.0,378.0,1042.0,482.0
REC,im2col,4,L2Cache,15,0.6216454025516938,0.6062176165803109,364.0,378.0,1049.0,482.0
REC,im2col,5,L1SCache,,0.9952267303102625,,10008.0,48.0,0.0,0.0
REC,im2col,5,L1ICache,,0.9931246866719187,,41601.0,288.0,0.0,0.0
REC,im2col,5,L2Cache,0,0.6212018906144497,0.47244094488188976,106.0,393.0,814.0,168.0
REC,im2col,5,L2Cache,1,0.6216949152542373,0.5055350553505535,106.0,390.0,811.0,168.0
REC,im2col,5,L2Cache,2,0.6167460857726345,0.4944649446494465,105.0,390.0,801.0,173.0
REC,im2col,5,L2Cache,3,0.6122589531680441,0.43209876543209874,95.0,392.0,794.0,171.0
REC,im2col,5,L2Cache,4,0.6102635228848821,0.4051724137931034,97.0,394.0,783.0,168.0
REC,im2col,5,L2Cache,5,0.6161202185792349,0.4297520661157025,92.0,394.0,810.0,168.0
REC,im2col,5,L2Cache,6,0.6064425770308123,0.3755656108597285,82.0,394.0,784.0,168.0
REC,im2col,5,L2Cache,7,0.6053370786516854,0.3755656108597285,78.0,394.0,784.0,168.0
REC,im2col,5,L2Cache,8,0.6080611535788742,0.39914163090128757,91.0,396.0,784.0,168.0
REC,im2col,5,L2Cache,9,0.6131687242798354,0.4573643410852713,100.0,396.0,794.0,168.0
REC,im2col,5,L2Cache,10,0.6126373626373627,0.4190871369294606,100.0,396.0,792.0,168.0
REC,im2col,5,L2Cache,11,0.6150684931506849,0.391304347826087,89.0,394.0,809.0,168.0
REC,im2col,5,L2Cache,12,0.614010989010989,0.43089430894308944,87.0,394.0,807.0,168.0
REC,im2col,5,L2Cache,13,0.6171662125340599,0.44223107569721115,94.0,394.0,812.0,168.0
REC,im2col,5,L2Cache,14,0.6207827260458839,0.46564885496183206,95.0,394.0,825.0,168.0
REC,im2col,5,L2Cache,15,0.6233243967828418,0.4594594594594595,103.0,394.0,827.0,168.0
REC,matrixmultiplication,2,L1SCache,,0.9795918367346939,,1536.0,32.0,0.0,0.0
REC,matrixmultiplication,2,L1ICache,,0.9995353704613922,,929341.0,432.0,0.0,0.0
REC,matrixmultiplication,2,L2Cache,0,0.6175009552923194,0.018518518518518517,8028.0,4005.0,52.0,1000.0
REC,matrixmultiplication,2,L2Cache,1,0.6202185792349727,0.020092425155716295,8124.0,4004.0,48.0,1000.0
REC,matrixmultiplication,2,L2Cache,2,0.6217217141561484,0.01910699919549477,8180.0,4005.0,46.0,1000.0
REC,matrixmultiplication,2,L2Cache,3,0.6216175359032502,0.023036858974358976,8175.0,4006.0,49.0,1000.0
REC,matrixmultiplication,2,L2Cache,4,0.6220561594202898,0.021464393179538615,8190.0,4007.0,51.0,1000.0
REC,matrixmultiplication,2,L2Cache,5,0.6221500830439378,0.02205734910767997,8191.0,4005.0,50.0,1000.0
REC,matrixmultiplication,2,L2Cache,6,0.6218462003323765,0.025379696243005595,8187.0,4006.0,45.0,1000.0
REC,matrixmultiplication,2,L2Cache,7,0.6207001060766782,0.024014408645187113,8138.0,4006.0,54.0,1000.0
REC,matrixmultiplication,2,L2Cache,8,0.6189133582260153,0.024028834601521828,8076.0,4001.0,46.0,1000.0
REC,matrixmultiplication,2,L2Cache,9,0.6159870997466022,0.02578452928243054,7971.0,4001.0,51.0,1000.0
REC,matrixmultiplication,2,L2Cache,10,0.6127883573308561,0.02285485164394547,7868.0,4002.0,48.0,1000.0
REC,matrixmultiplication,2,L2Cache,11,0.6166641116050897,0.03293650793650794,7991.0,4001.0,54.0,1000.0
REC,matrixmultiplication,2,L2Cache,12,0.6143286804966454,0.02714570858283433,7919.0,4001.0,47.0,1000.0
REC,matrixmultiplication,2,L2Cache,13,0.6114347859861726,0.02285485164394547,7818.0,4002.0,53.0,1000.0
REC,matrixmultiplication,2,L2Cache,14,0.6142096736866466,0.026173826173826173,7909.0,4001.0,53.0,1000.0
REC,matrixmultiplication,2,L2Cache,15,0.6149106592729513,0.021678040947410677,7932.0,4000.0,52.0,1000.0
REC,matrixmultiplication,3,L1SCache,,0.9795918367346939,,1536.0,32.0,0.0,0.0
REC,matrixmultiplication,3,L1ICache,,0.999535067431366,,928735.0,432.0,0.0,0.0
REC,matrixmultiplication,3,L2Cache,0,0.7105829151271164,0.5198125266297401,12845.0,4248.0,40.0,1000.0
REC,matrixmultiplication,3,L2Cache,1,0.7094740335158454,0.50871839581517,12779.0,4253.0,49.0,1000.0
REC,matrixmultiplication,3,L2Cache,2,0.7074542114346156,0.508296943231441,12662.0,4255.0,46.0,1000.0
REC,matrixmultiplication,3,L2Cache,3,0.7082269346064173,0.5200170357751278,12717.0,4256.0,41.0,1000.0
REC,matrixmultiplication,3,L2Cache,4,0.7083217830016078,0.5216468590831919,12727.0,4261.0,49.0,1000.0
REC,matrixmultiplication,3,L2Cache,5,0.7071567808409913,0.5091543156059285,12647.0,4258.0,50.0,1000.0
REC,matrixmultiplication,3,L2Cache,6,0.7075770191507077,0.5214437367303609,12699.0,4268.0,48.0,1000.0
REC,matrixmultiplication,3,L2Cache,7,0.7069464544138929,0.50871839581517,12652.0,4265.0,49.0,1000.0
REC,matrixmultiplication,3,L2Cache,8,0.7068349341076614,0.5083041958041958,12609.0,4250.0,49.0,1000.0
REC,matrixmultiplication,3,L2Cache,9,0.7073673651359786,0.507227332457293,12649.0,4251.0,44.0,1000.0
REC,matrixmultiplication,3,L2Cache,10,0.7077813648001781,0.5076519457804984,12669.0,4250.0,47.0,1000.0
REC,matrixmultiplication,3,L2Cache,11,0.7066741133761519,0.49324324324324326,12610.0,4252.0,43.0,1000.0
REC,matrixmultiplication,3,L2Cache,12,0.7077539214595617,0.507011393514461,12681.0,4254.0,43.0,1000.0
REC,matrixmultiplication,3,L2Cache,13,0.7075723830734967,0.508296943231441,12658.0,4252.0,50.0,1000.0
REC,matrixmultiplication,3,L2Cache,14,0.7090052646162371,0.5093763628434366,12740.0,4251.0,54.0,1000.0
REC,matrixmultiplication,3,L2Cache,15,0.7091715156553062,0.5210727969348659,12749.0,4248.0,48.0,1000.0
REC,matrixmultiplication,4,L1SCache,,0.9795918367346939,,1536.0,32.0,0.0,0.0
REC,matrixmultiplication,4,L1ICache,,0.9995352559964886,,929112.0,432.0,0.0,0.0
REC,matrixmultiplication,4,L2Cache,0,0.19607190412782957,0.2563626230726361,1444.0,4749.0,323.0,2496.0
REC,matrixmultiplication,4,L2Cache,1,0.1844943820224719,0.24708537044001505,1314.0,4748.0,328.0,2510.0
REC,matrixmultiplication,4,L2Cache,2,0.17755102040816326,0.23882867465297586,1256.0,4749.0,310.0,2505.0
REC,matrixmultiplication,4,L2Cache,3,0.19265850945494994,0.2601626016260163,1408.0,4750.0,324.0,2508.0
REC,matrixmultiplication,4,L2Cache,4,0.19253416287079214,0.2590194264569843,1400.0,4751.0,333.0,2517.0
