scheme,workload,hit_rate,miss_rate,remote_hit_rate
CD,im2col,0.5852465619425744,0.4147534380574256,0.5428424947617136
CD,matrixmultiplication,0.5486669525856354,0.45133304741436464,0.3435855104764263
REC,im2col,0.6312685443676279,0.3687314556323721,0.6202222222222222
REC,matrixmultiplication,0.5207812439511796,0.47921875604882036,0.23139225825158266
HMG,im2col,0.5857505274997742,0.4142494725002258,0.5438288218154318
HMG,matrixmultiplication,0.5228002378121284,0.47719976218787163,0.23539761746805504
superdirectory,im2col,0.5894800085595299,0.41051999144047013,0.5566627371605241
superdirectory,matrixmultiplication,0.6102420459606588,0.3897579540393412,0.5199061419106004
